gamePk,team_name,norm_x,period_1_side
2015020116,Vancouver Canucks,-61.5,right
2015020117,Carolina Hurricanes,-74.0,right
2015020117,San Jose Sharks,70.0,left
2015020118,Minnesota Wild,67.0,left
2015020118,Winnipeg Jets,-59.5,right
2015020119,Calgary Flames,70.0,left
2015020119,New York Rangers,-74.0,right
2015020120,Edmonton Oilers,-66.0,right
2015020120,Los Angeles Kings,74.0,left
2015020121,Calgary Flames,64.0,left
2015020121,New York Islanders,-61.5,right
2015020122,Arizona Coyotes,61.0,left
2015020122,Toronto Maple Leafs,-73.0,right
2015020123,Anaheim Ducks,63.0,left
2015020123,Chicago Blackhawks,-68.0,right
2015020124,Arizona Coyotes,-53.5,right
2015020124,Boston Bruins,66.0,left
2015020125,Columbus Blue Jackets,-60.0,right
2015020125,New Jersey Devils,59.0,left
2015020126,Buffalo Sabres,72.0,left
2015020126,Philadelphia Flyers,-64.0,right
2015020127,Carolina Hurricanes,60.0,left
2015020127,Detroit Red Wings,-67.5,right
2015020128,Colorado Avalanche,63.5,left
2015020128,Florida Panthers,-64.5,right
2015020129,St. Louis Blues,61.0,left
2015020129,Tampa Bay Lightning,-52.0,right
2015020130,Edmonton Oilers,47.0,left
2015020130,Minnesota Wild,-57.0,right
2015020131,Los Angeles Kings,44.0,left
2015020131,Winnipeg Jets,-45.0,right
2015020132,Anaheim Ducks,61.0,left
2015020132,Dallas Stars,-70.0,right
2015020133,Montréal Canadiens,78.0,left
2015020133,Vancouver Canucks,-68.0,right
2015020134,Calgary Flames,-64.5,right
2015020134,Ottawa Senators,66.0,left
2015020135,Pittsburgh Penguins,68.0,left
2015020135,Washington Capitals,-71.0,right
2015020136,Nashville Predators,-68.5,right
2015020136,San Jose Sharks,59.0,left
2015020137,Carolina Hurricanes,69.75,left
2015020137,New York Islanders,-55.75,right
2015020138,New Jersey Devils,58.0,left
2015020138,Philadelphia Flyers,-47.0,right
2015020139,Buffalo Sabres,-63.0,right
2015020139,Pittsburgh Penguins,72.0,left
2015020140,Colorado Avalanche,-54.0,right
2015020140,Tampa Bay Lightning,52.0,left
2015020141,Anaheim Ducks,-57.0,right
2015020141,St. Louis Blues,49.5,left
2015020142,Chicago Blackhawks,71.5,left
2015020142,Winnipeg Jets,-63.0,right
2015020143,Dallas Stars,-69.5,right
2015020143,Vancouver Canucks,74.5,left
2015020144,Edmonton Oilers,-59.0,right
2015020144,Montréal Canadiens,49.0,left
2015020145,Buffalo Sabres,70.0,left
2015020145,Philadelphia Flyers,-64.0,right
2015020146,New York Rangers,-50.0,right
2015020146,Toronto Maple Leafs,79.0,left
2015020147,Columbus Blue Jackets,53.0,left
2015020147,Washington Capitals,-59.0,right
2015020148,Carolina Hurricanes,-58.0,right
2015020148,Colorado Avalanche,55.0,left
2015020149,Detroit Red Wings,-69.0,right
2015020149,Ottawa Senators,58.0,left
2015020150,Boston Bruins,52.0,left
2015020150,Florida Panthers,-58.5,right
2015020151,Chicago Blackhawks,63.5,left
2015020151,Minnesota Wild,-69.0,right
2015020152,Calgary Flames,-63.0,right
2015020152,Montréal Canadiens,58.0,left
2015020153,Arizona Coyotes,64.0,left
2015020153,Vancouver Canucks,-62.5,right
2015020154,New Jersey Devils,76.0,left
2015020154,New York Islanders,-59.0,right
2015020155,Dallas Stars,-72.0,right
2015020155,San Jose Sharks,65.0,left
2015020156,Los Angeles Kings,-61.75,right
2015020156,Nashville Predators,57.5,left
2015020157,Pittsburgh Penguins,59.0,left
2015020157,Toronto Maple Leafs,-52.0,right
2015020158,Detroit Red Wings,-74.0,right
2015020158,Ottawa Senators,67.0,left
2015020159,Boston Bruins,-51.0,right
2015020159,Tampa Bay Lightning,51.5,left
2015020160,Florida Panthers,-64.0,right
2015020160,Washington Capitals,48.5,left
2015020161,Columbus Blue Jackets,-52.0,right
2015020161,Winnipeg Jets,58.0,left
2015020162,Minnesota Wild,-69.5,right
2015020162,St. Louis Blues,64.5,left
2015020163,Calgary Flames,60.0,left
2015020163,Edmonton Oilers,-57.5,right
2015020164,Colorado Avalanche,-50.0,right
2015020164,San Jose Sharks,72.0,left
2015020165,Carolina Hurricanes,-61.0,right
2015020165,Tampa Bay Lightning,51.5,left
2015020166,Montréal Canadiens,-71.5,right
2015020166,Winnipeg Jets,68.0,left
2015020167,Buffalo Sabres,67.5,left
2015020167,New York Islanders,-56.0,right
2015020168,Anaheim Ducks,61.0,left
2015020168,Nashville Predators,-61.0,right
2015020169,Dallas Stars,57.0,left
2015020169,Toronto Maple Leafs,-64.0,right
2015020170,Chicago Blackhawks,-62.0,right
2015020170,Los Angeles Kings,58.5,left
2015020171,Philadelphia Flyers,56.5,left
2015020171,Vancouver Canucks,-69.0,right
2015020172,Boston Bruins,47.0,left
2015020172,Dallas Stars,-60.0,right
2015020173,New Jersey Devils,72.5,left
2015020173,New York Islanders,-69.5,right
2015020174,New York Rangers,-73.0,right
2015020174,Washington Capitals,76.5,left
2015020175,Montréal Canadiens,-74.0,right
2015020175,Ottawa Senators,75.0,left
2015020176,Detroit Red Wings,-67.0,right
2015020176,Tampa Bay Lightning,72.5,left
2015020177,Los Angeles Kings,-75.0,right
2015020177,St. Louis Blues,57.0,left
2015020178,Calgary Flames,54.0,left
2015020178,Colorado Avalanche,-55.5,right
2015020179,Edmonton Oilers,-73.0,right
2015020179,Philadelphia Flyers,50.0,left
2015020180,Columbus Blue Jackets,-69.0,right
2015020180,San Jose Sharks,61.5,left
2015020181,Toronto Maple Leafs,-63.0,right
2015020181,Winnipeg Jets,69.5,left
2015020182,Chicago Blackhawks,-59.0,right
2015020182,St. Louis Blues,58.25,left
2015020183,Pittsburgh Penguins,61.0,left
2015020183,Vancouver Canucks,-57.0,right
2015020184,Anaheim Ducks,63.0,left
2015020184,Florida Panthers,-74.0,right
2015020185,Buffalo Sabres,64.5,left
2015020185,Tampa Bay Lightning,-57.5,right
2015020186,Boston Bruins,60.0,left
2015020186,Washington Capitals,-71.0,right
2015020187,Montréal Canadiens,-65.5,right
2015020187,New York Islanders,63.0,left
2015020188,Ottawa Senators,67.0,left
2015020188,Winnipeg Jets,-61.0,right
2015020189,Minnesota Wild,-56.5,right
2015020189,Nashville Predators,57.0,left
2015020190,Calgary Flames,-72.25,right
2015020190,Philadelphia Flyers,58.5,left
2015020191,Arizona Coyotes,60.0,left
2015020191,Colorado Avalanche,-65.0,right
2015020192,Columbus Blue Jackets,64.25,left
2015020192,Los Angeles Kings,-60.0,right
2015020193,Florida Panthers,-64.0,right
2015020193,San Jose Sharks,73.0,left
2015020194,Detroit Red Wings,65.0,left
2015020194,Toronto Maple Leafs,-55.5,right
2015020195,Chicago Blackhawks,-48.0,right
2015020195,New Jersey Devils,70.0,left
2015020196,Carolina Hurricanes,-62.0,right
2015020196,Dallas Stars,75.0,left
2015020197,Colorado Avalanche,-65.5,right
2015020197,New York Rangers,63.0,left
2015020198,Edmonton Oilers,-50.0,right
2015020198,Pittsburgh Penguins,58.0,left
2015020199,Anaheim Ducks,72.0,left
2015020199,Columbus Blue Jackets,-70.5,right
2015020200,Buffalo Sabres,55.5,left
2015020200,Vancouver Canucks,-53.5,right
2015020201,Florida Panthers,52.0,left
2015020201,Los Angeles Kings,-72.0,right
2015020202,Boston Bruins,61.0,left
2015020202,Montréal Canadiens,-66.0,right
2015020203,Toronto Maple Leafs,63.0,left
2015020203,Washington Capitals,-67.0,right
2015020204,Carolina Hurricanes,-60.5,right
2015020204,Ottawa Senators,51.0,left
2015020205,Philadelphia Flyers,71.5,left
2015020205,Winnipeg Jets,-52.0,right
2015020206,Nashville Predators,60.0,left
2015020206,St. Louis Blues,-47.0,right
2015020207,Minnesota Wild,-55.0,right
2015020207,Tampa Bay Lightning,58.0,left
2015020208,Arizona Coyotes,64.5,left
2015020208,New York Rangers,-58.0,right
2015020209,Calgary Flames,-66.5,right
2015020209,Pittsburgh Penguins,59.0,left
2015020210,Anaheim Ducks,-62.0,right
2015020210,San Jose Sharks,71.0,left
2015020211,Dallas Stars,55.0,left
2015020211,Detroit Red Wings,-67.5,right
2015020212,New Jersey Devils,64.5,left
2015020212,Vancouver Canucks,-64.25,right
2015020213,Boston Bruins,69.5,left
2015020213,New York Islanders,-69.0,right
2015020214,Chicago Blackhawks,-62.0,right
2015020214,Edmonton Oilers,67.0,left
2015020215,Anaheim Ducks,61.5,left
2015020215,Arizona Coyotes,-75.75,right
2015020216,New Jersey Devils,59.0,left
2015020216,St. Louis Blues,-57.0,right
2015020217,Carolina Hurricanes,67.5,left
2015020217,New York Rangers,-68.5,right
2015020218,Colorado Avalanche,74.0,left
2015020218,Philadelphia Flyers,-59.0,right
2015020219,Columbus Blue Jackets,-72.0,right
2015020219,Vancouver Canucks,72.0,left
2015020220,Detroit Red Wings,-50.0,right
2015020220,Washington Capitals,65.0,left
2015020221,Buffalo Sabres,-45.0,right
2015020221,Tampa Bay Lightning,57.0,left
2015020222,Calgary Flames,68.0,left
2015020222,Florida Panthers,-74.0,right
2015020223,Nashville Predators,63.5,left
2015020223,Ottawa Senators,-57.0,right
2015020224,Minnesota Wild,-67.5,right
2015020224,Winnipeg Jets,55.5,left
2015020225,Dallas Stars,-67.5,right
2015020225,Toronto Maple Leafs,70.0,left
2015020226,Arizona Coyotes,50.0,left
2015020226,Los Angeles Kings,-60.5,right
2015020227,New York Islanders,-38.0,right
2015020227,San Jose Sharks,63.0,left
2015020228,Montréal Canadiens,-65.0,right
2015020228,Pittsburgh Penguins,73.0,left
2015020229,Anaheim Ducks,74.5,left
2015020229,Edmonton Oilers,-58.5,right
2015020230,Boston Bruins,45.0,left
2015020230,Colorado Avalanche,-57.5,right
2015020231,New York Rangers,-78.5,right
2015020231,St. Louis Blues,75.5,left
2015020232,Philadelphia Flyers,-51.0,right
2015020232,Washington Capitals,68.0,left
2015020233,Carolina Hurricanes,-71.25,right
2015020233,Minnesota Wild,59.0,left
2015020234,Ottawa Senators,58.0,left
2015020234,Vancouver Canucks,-60.0,right
2015020235,Calgary Flames,-58.0,right
2015020235,Tampa Bay Lightning,57.0,left
2015020236,Buffalo Sabres,48.0,left
2015020236,Florida Panthers,-60.0,right
2015020237,Nashville Predators,73.0,left
2015020237,Toronto Maple Leafs,-65.0,right
2015020238,Chicago Blackhawks,-64.0,right
2015020238,New Jersey Devils,75.5,left
2015020239,Dallas Stars,-63.5,right
2015020239,Winnipeg Jets,60.0,left
2015020240,Arizona Coyotes,63.0,left
2015020240,Edmonton Oilers,-77.0,right
2015020241,Los Angeles Kings,-63.5,right
2015020241,New York Islanders,59.5,left
2015020242,Columbus Blue Jackets,-73.5,right
2015020242,Pittsburgh Penguins,68.5,left
2015020243,Calgary Flames,65.25,left
2015020243,Washington Capitals,-55.25,right
2015020244,Detroit Red Wings,-66.5,right
2015020244,San Jose Sharks,69.0,left
2015020245,Anaheim Ducks,69.0,left
2015020245,New York Islanders,-73.0,right
2015020246,New York Rangers,-71.5,right
2015020246,Ottawa Senators,74.0,left
2015020247,Boston Bruins,58.0,left
2015020247,Detroit Red Wings,-61.0,right
2015020248,Buffalo Sabres,65.5,left
2015020248,San Jose Sharks,-61.5,right
2015020249,Toronto Maple Leafs,-67.0,right
2015020249,Vancouver Canucks,57.0,left
2015020250,Colorado Avalanche,72.0,left
2015020250,Montréal Canadiens,-65.0,right
2015020251,Florida Panthers,-63.0,right
2015020251,Tampa Bay Lightning,62.0,left
2015020252,New Jersey Devils,52.0,left
2015020252,Pittsburgh Penguins,-57.0,right
2015020253,Carolina Hurricanes,-64.0,right
2015020253,Philadelphia Flyers,78.5,left
2015020254,Arizona Coyotes,63.5,left
2015020254,Columbus Blue Jackets,-57.5,right
2015020255,Nashville Predators,70.0,left
2015020255,Winnipeg Jets,-73.0,right
2015020256,Chicago Blackhawks,-70.0,right
2015020256,St. Louis Blues,70.0,left
2015020257,Dallas Stars,-66.5,right
2015020257,Minnesota Wild,74.0,left
2015020258,Edmonton Oilers,66.0,left
2015020258,Los Angeles Kings,-66.0,right
2015020259,New York Rangers,-48.0,right
2015020259,Toronto Maple Leafs,76.0,left
2015020260,Calgary Flames,67.0,left
2015020260,Chicago Blackhawks,-62.5,right
2015020261,Arizona Coyotes,80.0,left
2015020261,New York Islanders,-70.0,right
2015020262,Anaheim Ducks,74.0,left
2015020262,Carolina Hurricanes,-67.5,right
2015020263,Montréal Canadiens,-69.5,right
2015020263,Vancouver Canucks,64.75,left
2015020264,Detroit Red Wings,-75.5,right
2015020264,Ottawa Senators,58.0,left
2015020265,Florida Panthers,-41.0,right
2015020265,Tampa Bay Lightning,51.0,left
2015020266,St. Louis Blues,63.5,left
2015020266,Winnipeg Jets,-70.0,right
2015020267,Boston Bruins,52.0,left
2015020267,San Jose Sharks,-55.0,right
2015020268,Buffalo Sabres,48.5,left
2015020268,Dallas Stars,-60.0,right
2015020269,Los Angeles Kings,49.0,left
2015020269,Philadelphia Flyers,-53.5,right
2015020270,Minnesota Wild,-54.0,right
2015020270,Pittsburgh Penguins,65.0,left
2015020271,Columbus Blue Jackets,-69.0,right
2015020271,St. Louis Blues,58.0,left
2015020272,Colorado Avalanche,58.0,left
2015020272,Toronto Maple Leafs,-58.0,right
2015020273,Anaheim Ducks,-65.0,right
2015020273,Nashville Predators,73.0,left
2015020274,Calgary Flames,-78.0,right
2015020274,New Jersey Devils,71.0,left
2015020275,Vancouver Canucks,74.0,left
2015020275,Winnipeg Jets,-57.0,right
2015020276,Detroit Red Wings,-58.0,right
2015020276,Washington Capitals,64.0,left
2015020277,Chicago Blackhawks,68.25,left
2015020277,Edmonton Oilers,-64.25,right
2015020278,Boston Bruins,46.0,left
2015020278,Minnesota Wild,-45.5,right
2015020279,Philadelphia Flyers,-55.75,right
2015020279,San Jose Sharks,49.5,left
2015020280,Colorado Avalanche,-59.5,right
2015020280,Pittsburgh Penguins,72.5,left
2015020281,Dallas Stars,71.0,left
2015020281,Washington Capitals,-60.5,right
2015020282,Arizona Coyotes,72.0,left
2015020282,Montréal Canadiens,-70.0,right
2015020283,Columbus Blue Jackets,-56.5,right
2015020283,Ottawa Senators,57.0,left
2015020284,New York Rangers,-69.0,right
2015020284,Tampa Bay Lightning,55.0,left
2015020285,Anaheim Ducks,64.0,left
